Time,HV Battery SOC (%),HV Battery Power (kW),HV Battery Current (A),G-Force (1),Vehicle Speed (km/hr) (km/hr)
00:00:01.2842,69.9999999974759,-2.94963091032427e-07,-8.67538503036549e-07,0.000127742170964571,-0.00283265581210375
00:00:01.3842,69.9999999974837,-3.75233463936301e-08,-1.10362783510677e-07,0.000121764925237246,-0.0023918655405506
00:00:01.4842,69.9999999974798,2.08003717472185e-07,6.11775639624075e-07,0.000116072245040069,-0.00197176094511603
00:00:01.5000,69.9999999974781,2.45522263999483e-07,7.22124305880833e-07,0.000115201466201091,-0.0019075585912778
00:00:01.5002,69.9999999974781,2.48256911744783e-07,7.30167387484655e-07,0.00011531123461722,-0.0019066427290162
00:00:01.5004,69.9999999974781,2.52778771041187e-07,7.4346697365055e-07,0.000115519385768338,-0.00190572521350907
00:00:01.5006,69.999999997478,2.58758648206253e-07,7.61054847665451e-07,0.000115806499627535,-0.00190480541759319
00:00:01.5008,69.999999997478,2.65655631407038e-07,7.8134009237364e-07,0.000116141704933195,-0.0019038837962107
00:00:01.5013,69.999999997478,2.80786932886693e-07,8.2584392025498e-07,0.000116882984156337,-0.00190217828495979
00:00:01.5023,69.9999999974778,3.29640517195932e-07,9.69530932929211e-07,0.000119245847724687,-0.00189768048613056
00:00:01.5032,69.9999999974777,3.73600420516097e-07,1.09882476622381e-06,0.000121305094184471,-0.00189416812199234
00:00:01.5040,69.9999999974775,4.19536011965472e-07,1.23392944695727e-06,0.000123379130860326,-0.00189059603942413
00:00:01.5048,69.9999999974774,4.65981540402052e-07,1.37053394235898e-06,0.000125398665483699,-0.0018869643197994
00:00:01.5060,69.9999999974771,5.31598414790176e-07,1.56352474938287e-06,0.000128129879625151,-0.00188171986685628
00:00:01.5079,69.9999999974766,6.39071263773544e-07,1.87962136403984e-06,0.000132332093668892,-0.00187276590589274
00:00:01.5113,69.9999999974754,8.15099905903761e-07,2.39735266442283e-06,0.000138606339290573,-0.0018568966752835
00:00:01.5166,69.9999999974731,1.07547977126635e-06,3.1631757978422e-06,0.000146773825003279,-0.00182981782950812
00:00:01.5256,69.9999999974679,1.4338498621637e-06,4.21720547695206e-06,0.000156246939423293,-0.00178209366610796
00:00:01.5428,69.9999999974548,1.90954636016965e-06,5.61631282402838e-06,0.000165840482900472,-0.00168472199562171
00:00:01.5663,69.9999999974326,2.25084809468161e-06,6.62014145494591e-06,0.000169325590049752,-0.00154657449452264
00:00:01.5898,69.9999999974073,2.42145808777411e-06,7.12193555227678e-06,0.000168267876435393,-0.00140679706751736
00:00:01.6198,69.9999999973725,2.59389401030975e-06,7.6291000303228e-06,0.000165856111377183,-0.00122983138462079
00:00:01.6638,69.9999999973171,2.8394050684142e-06,8.35119137768882e-06,0.000162307990006862,-0.000974646017735966
00:00:01.7401,69.9999999972094,3.25868452348023e-06,9.58436624553009e-06,0.00015647505413472,-0.000545108328901765
00:00:01.8401,69.9999999970464,3.78631391100578e-06,1.11362173853111e-05,0.000149154196979031,-5.2244252911355e-06
00:00:01.8411,69.9999999970447,3.79141732197101e-06,1.11512274175618e-05,0.000149083292333644,-1.11965643055873e-16
00:00:01.8411,69.9999999970447,3.79141749637117e-06,1.11512279305034e-05,0.000149083292328975,1.55753477132305e-18
00:00:01.8774,69.9999999969779,3.97503188727262e-06,1.16912702566842e-05,0.000146537777570865,0.000187786088076711
00:00:01.9137,69.9999999969081,4.15518602238198e-06,1.2221135359947e-05,0.000144029424516448,0.000372357757213728
00:00:01.9500,69.9999999968353,4.33213799551894e-06,1.27415823397616e-05,0.000141561769435801,0.000553767161288458
00:00:01.9862,69.9999999967605,4.50691276856263e-06,1.32556257898901e-05,0.000139123153111926,0.000732985307473088
00:00:02.0000,69.9999999967316,4.5723628027583e-06,1.34481258904656e-05,0.000138209744236744,0.000800105284912399
00:00:02.0000,69.9999999967315,4.56615668655679e-06,1.342987260752e-05,0.000138085758171683,0.00080053574840765
00:00:02.0001,69.9999999967313,4.55390285580753e-06,1.33938319288457e-05,0.000137853754382395,0.000800965488662769
00:00:02.0002,69.9999999967311,4.53614368563113e-06,1.33415990753857e-05,0.000137523016019793,0.000801394197886205
00:00:02.0003,69.9999999967309,4.51476931835529e-06,1.32787332892803e-05,0.000137126865632217,0.00080182206303963
00:00:02.0005,69.9999999967306,4.465622787035e-06,1.313418466775e-05,0.000136219244598697,0.000802590659220475
00:00:02.0008,69.99999999673,4.34031820742264e-06,1.27656417865372e-05,0.000133899371260438,0.000804026769035186
00:00:02.0011,69.9999999967292,4.14313174804318e-06,1.21856816118917e-05,0.00013019836814335,0.000805753489462852
00:00:02.0015,69.9999999967286,3.91564072791767e-06,1.15165903762285e-05,0.000125830048968522,0.000807427830317859
00:00:02.0019,69.9999999967279,3.67286690640346e-06,1.0802549724716e-05,0.000121034511935162,0.000809042582494562
00:00:02.0022,69.9999999967273,3.42519043880054e-06,1.0074089525884e-05,0.00011598256742409,0.000810593114978876
00:00:02.0026,69.9999999967267,3.17934336689935e-06,9.35100990264514e-06,0.000110789704359761,0.000812076726808977
00:00:02.0031,69.9999999967261,2.89062403534007e-06,8.50183539805903e-06,0.000104434977756578,0.000813779405705932
00:00:02.0036,69.9999999967254,2.5577620996556e-06,7.52282970486943e-06,9.6711248697913e-05,0.000815713094182504
00:00:02.0042,69.9999999967248,2.24776238334826e-06,6.61106583337723e-06,8.90637549017674e-05,0.000817499160559088
00:00:02.0049,69.9999999967241,1.88336837748916e-06,5.53931875732106e-06,7.93835944571733e-05,0.000819592530043007
00:00:02.0058,69.9999999967234,1.47794713891706e-06,4.34690334975607e-06,6.74704311540127e-05,0.000821914860099433
00:00:02.0069,69.9999999967228,1.05583298517969e-06,3.10539113288143e-06,5.32327772388392e-05,0.00082430647030476
00:00:02.0083,69.9999999967222,6.38615505095164e-07,1.87828089733872e-06,3.61188227501828e-05,0.000826574499667324
00:00:02.0103,69.9999999967218,2.55079740655891e-07,7.50234531340856e-07,1.46602129447753e-05,0.000828341705277503
00:00:02.0132,69.9999999967215,-1.36194103415983e-08,-4.00570892399951e-08,-1.40173614239742e-05,0.000828417149054943
00:00:02.0183,69.9999999967213,9.18979938161622e-08,2.70288217106359e-07,-5.50028230031257e-05,0.0008223451346596
00:00:02.0290,69.9999999967172,1.29323730173479e-06,3.80363912274939e-06,-0.000114321426646625,0.000791521676446518
00:00:02.0397,69.9999999967077,2.57109581691661e-06,7.56204652034298e-06,-0.000147941872453792,0.000742918708906228
00:00:02.0504,69.9999999966929,3.50772443460277e-06,1.03168365723611e-05,-0.000166416063563177,0.000683988562833901
00:00:02.0611,69.9999999966741,4.1312213401074e-06,1.21506510003159e-05,-0.000176378139245741,0.000619415304546559
00:00:02.0759,69.9999999966442,4.68070894208832e-06,1.37667910061421e-05,-0.000183192416903918,0.000525853282112319
00:00:02.0959,69.9999999965992,5.09952726724758e-06,1.49986096095517e-05,-0.000186040737162139,0.000395781164998584
00:00:02.1216,69.9999999965371,5.39774415323682e-06,1.58757180977553e-05,-0.000185400464053238,0.000227671769586938
00:00:02.1546,69.9999999964528,5.66519531343254e-06,1.66623391571545e-05,-0.000182680152030781,1.35223598576525e-05
00:00:02.1567,69.9999999964473,5.68247871992425e-06,1.67131727056596e-05,-0.000182515988935076,1.73773163407964e-16
00:00:02.1567,69.9999999964473,5.68257723143447e-06,1.67134624453955e-05,-0.000182515986818155,-1.19583793856007e-17
00:00:02.1859,69.9999999963675,5.89903097207518e-06,1.73500910943388e-05,-0.000179907128531571,-0.000185656011737471
00:00:02.2151,69.9999999962848,6.1152918155808e-06,1.79861523987671e-05,-0.000177381861463495,-0.000368706062186693
00:00:02.2443,69.9999999961992,6.32971954322753e-06,1.86168221859633e-05,-0.000174910861722979,-0.000549206152772886
00:00:02.2736,69.9999999961115,6.54249840510639e-06,1.924264236796e-05,-0.000172471193156833,-0.000727940670867057
00:00:02.3326,69.9999999959264,6.96479147631777e-06,2.04846808126993e-05,-0.000167643734553158,-0.00108221849804501
00:00:02.4275,69.999999995606,7.61970603145796e-06,2.24109000925234e-05,-0.000160167579103834,-0.0016313162900854
00:00:02.5000,69.9999999953424,8.10041651549143e-06,2.38247544573277e-05,-0.000154681355357277,-0.00203431216451572
00:00:02.5000,69.9999999953421,8.10865974605284e-06,2.38489992530966e-05,-0.000154776887763968,-0.00203477271763749
00:00:02.5001,69.9999999953418,8.12397828965736e-06,2.38940537931099e-05,-0.00015496587845628,-0.00203523383311877
00:00:02.5002,69.9999999953415,8.14580948931184e-06,2.39582632038583e-05,-0.000155240635403243,-0.00203569576616506
00:00:02.5003,69.9999999953412,8.17199263418798e-06,2.40352724534941e-05,-0.000155572353877224,-0.00203615837320349
00:00:02.5004,69.9999999953406,8.23563839670701e-06,2.42224658726677e-05,-0.000156383652257671,-0.00203703787237953
00:00:02.5008,69.9999999953394,8.40266293463398e-06,2.47137145136293e-05,-0.000158515978771252,-0.0020387296622043
00:00:02.5011,69.9999999953379,8.67650142514822e-06,2.55191218386712e-05,-0.000161985652717991,-0.00204086018825485
00:00:02.5015,69.9999999953364,9.00668821046479e-06,2.64902594425435e-05,-0.0001661092470063,-0.00204304074900273
00:00:02.5019,69.9999999953347,9.37673445280389e-06,2.75786307435409e-05,-0.00017064869710799,-0.00204527849485028
00:00:02.5023,69.9999999953331,9.77467173367134e-06,2.87490345107981e-05,-0.000175435515387232,-0.00204757799328527
00:00:02.5026,69.9999999953313,1.01921822695332e-05,2.99770066750976e-05,-0.000180356506469466,-0.00204994188272084
00:00:02.5031,69.9999999953291,1.07181683287224e-05,3.15240244962423e-05,-0.000186416141473916,-0.00205290796018628
00:00:02.5036,69.9999999953263,1.13778112248922e-05,3.34641506614477e-05,-0.000193809368482059,-0.00205666120497408
00:00:02.5042,69.9999999953232,1.20497400891947e-05,3.54404120270432e-05,-0.000201121752847103,-0.00206055946721806
00:00:02.5049,69.999999995319,1.29309311506723e-05,3.80321504431537e-05,-0.000210404870586934,-0.00206583221193884
00:00:02.5059,69.9999999953132,1.40630811090124e-05,4.1362003261801e-05,-0.000221869523740055,-0.00207291675156477
00:00:02.5070,69.9999999953052,1.54861512648762e-05,4.55475037202242e-05,-0.000235625029007897,-0.00208236895108103
00:00:02.5085,69.9999999952938,1.72995829163721e-05,5.08811262246239e-05,-0.000252231737903121,-0.00209537158802691
00:00:02.5106,69.9999999952759,1.97373117211803e-05,5.80509168270009e-05,-0.000273165874519791,-0.00211468862956747
00:00:02.5138,69.9999999952441,2.32926653770686e-05,6.85078393443194e-05,-0.000301328297778214,-0.00214710552564223
00:00:02.5196,69.999999995175,2.89909319001038e-05,8.52674467650113e-05,-0.000341786410312319,-0.00221188650548618
00:00:02.5306,69.9999999950054,3.76123613747252e-05,0.000110624592278603,-0.000394342796018168,-0.00235480412682785
00:00:02.5417,69.9999999947997,4.31682578752209e-05,0.000126965464338885,-0.000422705267621763,-0.00251384184663804
00:00:02.5528,69.9999999945702,4.66273419668114e-05,0.000137139241078857,-0.000437147823676756,-0.0026817500451949
00:00:02.5639,69.9999999943256,4.88353085255559e-05,0.000143633260369282,-0.000443971393359955,-0.00285408425295234
00:00:02.5795,69.9999999939665,5.08777573660542e-05,0.000149640462841336,-0.000447406292865925,-0.00309915730693548
00:00:02.6009,69.9999999934535,5.2673133786052e-05,0.000154920981723682,-0.000446502581223476,-0.00343723320919812
00:00:02.6288,69.9999999927645,5.43105180267496e-05,0.000159736817725734,-0.000441683758643966,-0.00387376774097828
00:00:02.6650,69.9999999918394,5.61274157173572e-05,0.000165080634462815,-0.000434027954647421,-0.00443350432174556
00:00:02.7158,69.9999999904886,5.85918784999647e-05,0.000172329054411661,-0.000423317824146279,-0.0052036782418108
00:00:02.7984,69.9999999881751,6.25036758716093e-05,0.000183834340798851,-0.000406693103661283,-0.00641372031550622
00:00:02.8984,69.9999999851769,6.70490284368816e-05,0.000197203024814358,-0.000387470778726198,-0.00781647751737197
00:00:02.9984,69.9999999819735,7.13773013873186e-05,0.000209933239374467,-0.000369148487426635,-0.00915283716273339
00:00:03.0000,69.9999999819218,7.14431488056402e-05,0.000210126908251883,-0.000368869465348181,-0.00917317811483995
00:00:03.0000,69.9999999819198,7.14193101515829e-05,0.000210056794563479,-0.000368742909854783,-0.00917399969118014
00:00:03.0001,69.9999999819177,7.137063366686e-05,0.000209913628431941,-0.000368508281853744,-0.00917482074475824
00:00:03.0001,69.9999999819156,7.12987006003526e-05,0.000209702060589272,-0.000368172358922434,-0.00917564104988444
00:00:03.0002,69.9999999819135,7.12111490630521e-05,0.0002094445560678,-0.000367768271602278,-0.00917646073997025
00:00:03.0003,69.9999999819098,7.10054836383825e-05,0.000208839657759948,-0.000366830619316361,-0.0091779390424937
00:00:03.0005,69.9999999819032,7.05050819372014e-05,0.000207367888050592,-0.000364572317228125,-0.00918052421458646
00:00:03.0008,69.9999999818928,6.94016651650937e-05,0.000204122544603217,-0.000359611082064144,-0.00918463955823173
00:00:03.0011,69.9999999818848,6.83325954758833e-05,0.000200978221987892,-0.000354792537655494,-0.00918781667108928
00:00:03.0013,69.9999999818769,6.71403527862259e-05,0.000197471625841841,-0.000349389540580931,-0.00919094858632192
00:00:03.0016,69.9999999818691,6.58627081988303e-05,0.000193713847643619,-0.000343558297955477,-0.00919403064267427
00:00:03.0018,69.9999999818615,6.45280772376696e-05,0.000189788462463734,-0.000337416840908627,-0.00919705950811346
00:00:03.0021,69.9999999818526,6.28806916510969e-05,0.00018494321073852,-0.000329760532240202,-0.00920062440267724
00:00:03.0025,69.9999999818439,6.12088311708691e-05,0.000180025974031968,-0.000321900178480918,-0.00920410647008174
00:00:03.0028,69.9999999818336,5.91656115702955e-05,0.000174016504618516,-0.000312163319582109,-0.00920824049840075
00:00:03.0032,69.9999999818236,5.71398219206775e-05,0.000168058299766698,-0.000302360132723475,-0.00921224724184097
00:00:03.0036,69.9999999818119,5.46913728957432e-05,0.000160856979105127,-0.000290301205347682,-0.00921701142993921
00:00:03.0041,69.9999999818006,5.23122738617835e-05,0.000153859629005245,-0.000278349718081619,-0.00922158273344949
00:00:03.0047,69.9999999817868,4.93586299367516e-05,0.000145172440990446,-0.000263167986338404,-0.00922720620482778
00:00:03.0054,69.9999999817707,4.58921087238513e-05,0.000134976790364269,-0.000244823498055531,-0.00923374913420395
00:00:03.0063,69.9999999817528,4.20165736126875e-05,0.000123578157684375,-0.000223571805822373,-0.00924099346650045
00:00:03.0074,69.9999999817332,3.7704706126164e-05,0.000110896194488718,-0.000198889649014081,-0.00924894226824548
